Season,Pos,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,Range,Def
2015,"P",390669,3.000084541097749,6,-3,-1,14,2,-162,-54,-211,0.00008389598224312067,0.3161886283196509,0.00006018412113917293,17.320125662779446,17.636293100134935,0.07880585175835686,1.1849995953962207,,,14.636166066801241
2016,"P",389757,3.0002351131132627,0,-3,0,6,13,-34,387,342,0.00001802999759092927,1.2958087942097336,0.00004304570938984398,5.390013282449672,6.686040505142955,0.033559583844195925,-3.3199987122789025,-21,-17,3.423393841746094
2017,"P",389313,5.999788973298564,-4,3,5,13,-6,-16,231,212,-0.000056692108046263456,0.5716675552830566,0.00005323267447465696,22.10007850969032,22.6717710382909,0.10175682782333671,-2.334998366422951,-18,-15,0.12583721667392356
2018,"P",391401,-1.999594959866954,-3,-2,4,-3,-38,15,401,346,0.0001032198197208345,-0.299473286787979,-0.00019242326334278914,19.969999329906727,19.670462016865095,0.0858397505464978,-0.16999929305166006,-23,-18,6.236564616558421
2019,"P",390810,2.0003020954463864,0,4,1,12,7,-7,366,344,-0.00001797376899048686,1.30690050550038,0.000015147401427384466,9.870024231724983,11.176937772893325,0.05336596780229355,-4.155000494793057,-7,-5,5.453258490393301
2020,"1B",139218,2.000105011431515,-3,2,-4,13,7,-12,58,44,-0.00001705993781797588,0.009922623285092413,-0.00003863003075821325,5.635010689484261,5.644933091651183,0.06735898142302008,-1.1249999310821295,-8,-7,4.563919957851023
2021,"P",383535,1.9996633806222235,3,2,-5,23,-1,-17,502,480,0.0000014414545148611069,-0.7658463457128164,0.0000062468407122651115,25.170067295695844,24.40422811674125,0.10608011620134501,-0.7400005366653204,2,1,0.8961313883410689
2022,"P",387678,-3.0004421967605595,3,-4,1,12,1,0,570,537,-0.000027263566153123975,-0.6567772325702634,-0.00006605347516597249,2.6499848738289984,1.993127736134241,0.006806793799254867,-3.8300008019432425,-16,-13,-12.231739921486707
2023,"P",387786,2.9999621437345922,-6,3,4,6,-11,22,311,273,0.00004954190808348358,0.26491039898246527,-0.1596477210687226,5.033354126962195,5.138668962124939,0.023481593520395666,0.15999979618936777,-22,-19,-7.727883817749623
2024,"P",388056.2,-2.9998108846994,4,0,2,0,-4,-14,509,466,9.906943887472153e-7,-0.6556686067488045,0.0000016343014976882841,5.004998957435419,4.349328393385804,0.01716600840816869,-0.5049999179318547,-7,-6,3.2814948115350915
