Season,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ
2015,"P",64960,43722,390669,130223,48760,2830,1501,1292,10611,4417,3336,4409,1199,2505,1064,321,1758,0.98443456,
2016,"P",65013,43704,389757,129919,47319,2835,1534,1251,10532,4363,3347,4359,883,2537,1002,372,1808,0.98425638,
2017,"P",65465,43740,389313,129771,45994,2817,1511,1266,10816,4435,3435,4430,859,2527,934,381,1810,0.98422573,
2018,"P",66512,43758,391401,130467,44660,2792,1452,1293,9783,4123,3076,4118,840,2474,958,370,1847,0.98430747,
2019,"P",67113,43722,390810,130270,43949,2898,1509,1336,9777,4080,3076,4072,852,2280,832,349,1788,0.98363793,
2020,"1B",24849,16164,139218,46406,15259,1048,543,487,3482,1447,1074,1450,88,885,292,141,675,0.98328895,
2021,"P",66893,43722,383535,127845,42089,2626,1357,1232,9376,3860,2903,3857,126,2213,711,349,1862,0.9847821,
2022,"P",66189,43740,387678,129226,42736,2573,1226,1312,9547,3952,2954,3947,457,2486,811,231,1607,0.98525797,
2023,"P",66404,43740,387786,129262,42038,2517,1284,1207,9763,3999,3026,3989,534,3503,866,232,1613,0.98551925,
2024,"P",66187,43723,388056.2,129360,41437,2594,1334,1235,9071,3711,2782,3704,618,3618,961,239,1439,0.98503959,
