Season,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ
2015,"C",5408,4858,43407.2,37665,2691,278,58,208,55,167,47,72,,2505,1064,321,1758,0.99315844,
2016,"C",5407,4856,43306.1,39181,2645,283,69,199,50,166,44,63,,2537,1002,372,1808,0.99327935,
2017,"C",5514,4860,43257,40412,2549,311,74,223,59,176,51,67,,2527,934,381,1810,0.9928129,
2018,"C",5487,4862,43489,41519,2540,273,63,186,57,184,53,45,,2474,958,370,1847,0.99384192,
2019,"C",5498,4858,43423.1,43145,2238,300,92,196,41,179,42,60,,2280,832,349,1788,0.99343301,
2020,"C",2090,1796,15468.2,15744,707,112,41,65,12,47,12,19,,885,292,141,675,0.99323794,
2021,"C",5425,4858,42615,42580,1975,259,93,151,32,122,30,61,,2213,711,349,1862,0.99422056,
2022,"C",5494,4860,43075.1,41404,1819,301,93,191,33,130,35,57,,2486,811,231,1607,0.99308428,
2023,"C",5518,4860,43087.1,42423,1763,365,110,244,46,115,46,65,,3503,866,232,1613,0.99180714,
2024,"C",5451,4859,43125,41902,1756,325,113,203,22,120,22,53,,3619,961,239,1439,0.99261078,
