Season,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ
2015,"CF",5543,4858,43407.2,12020,256,129,92,37,0,68,0,2,,,,,,0.98960097,
2016,"CF",5494,4856,43306.1,11465,248,136,109,27,0,50,0,0,,,,,,0.98852224,
2017,"CF",5607,4860,43257,11437,235,150,116,34,0,53,0,0,,,,,,0.98731179,
2018,"CF",5652,4862,43489,11885,222,156,115,41,0,57,1,0,,,,,,0.98727881,
2019,"CF",5829,4858,43423.1,11391,219,152,112,40,1,50,0,1,,,,,,0.98707703,
2020,"CF",2130,1796,15468.2,4116,67,38,28,10,0,14,0,1,,,,,,0.99099739,
2021,"CF",5795,4858,42615,11453,181,114,86,28,0,52,1,0,,,,,,0.99029622,
2022,"CF",5793,4860,43075.1,11919,173,110,82,28,0,41,0,0,,,,,,0.99098508,
2023,"CF",5699,4860,43087.1,11945,171,123,93,30,0,59,0,0,,,,,,0.98995016,
2024,"CF",5744,4858,43117.1,12513,168,121,89,32,0,41,0,0,,,,,,0.99054835,
