Season,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ
2015,"LF",6244,4858,43407.2,8632,296,138,100,35,0,37,0,0,,,,,,0.98477829,
2016,"LF",6080,4856,43306.1,8512,309,155,114,38,0,48,0,0,,,,,,0.98273173,
2017,"LF",6050,4860,43257,8709,296,145,114,30,1,46,0,0,,,,,,0.98415301,
2018,"LF",6025,4862,43489,8972,265,133,97,34,0,52,1,1,,,,,,0.98580576,
2019,"LF",6113,4858,43423.1,8530,256,158,116,39,0,41,0,0,,,,,,0.98233453,
2020,"LF",2263,1796,15468.2,3057,84,41,31,10,0,14,0,0,,,,,,0.98711502,
2021,"LF",6157,4858,42615,8502,202,126,82,42,0,28,1,0,,,,,,0.98573046,
2022,"LF",6009,4860,43075.1,8747,240,126,92,32,2,40,0,0,,,,,,0.9861736,
2023,"LF",6067,4860,43087.1,8855,250,122,79,40,0,43,0,0,,,,,,0.98677793,
2024,"LF",6058,4858,43116.1,9166,222,125,91,32,0,32,0,0,,,,,,0.98686009,
