Season,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ
2015,"RF",5675,4858,43407.2,9401,309,161,105,54,0,69,0,1,,,,,,0.9836896,
2016,"RF",5758,4856,43306.1,9585,308,150,126,22,0,59,1,0,,,,,,0.98506422,
2017,"RF",5661,4860,43257,9319,264,164,109,54,1,57,1,0,,,,,,0.98317431,
2018,"RF",5886,4862,43489,9438,283,146,103,43,1,49,1,0,,,,,,0.9852032,
2019,"RF",5868,4858,43423.1,9503,281,169,121,44,0,54,0,1,,,,,,0.98302019,
2020,"RF",2166,1796,15468.2,3396,81,58,40,17,0,19,0,0,,,,,,0.98359264,
2021,"RF",5826,4858,42615,9329,259,147,89,57,0,50,0,0,,,,,,0.98489985,
2022,"RF",5977,4860,43075.1,9920,281,141,86,54,0,61,1,0,,,,,,0.98636627,
2023,"RF",5945,4860,43087.1,9805,315,138,92,45,0,66,0,0,,,,,,0.98654709,
2024,"RF",6054,4858,43116.1,9838,257,144,99,45,0,56,1,0,,,,,,0.98593613,
