Season,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ
2015,"SS",5315,4858,43407.2,6726,13981,569,310,258,2810,1419,1418,199,,,,,,0.97325625,
2016,"SS",5290,4856,43306.1,6659,13431,509,283,226,2749,1423,1347,182,,,,,,0.97529006,
2017,"SS",5336,4860,43257,6563,13263,531,296,234,2743,1439,1328,209,,,,,,0.97391561,
2018,"SS",5375,4862,43489,6174,12666,541,294,245,2435,1392,1090,198,,,,,,0.97208606,
2019,"SS",5361,4858,43423.1,6008,12668,553,278,274,2427,1349,1102,183,,,,,,0.97124135,
2020,"SS",1991,1796,15468.2,2153,4342,192,97,94,867,483,391,58,,,,,,0.97128757,
2021,"SS",5319,4858,42615,6010,12124,526,257,269,2236,1278,978,149,,,,,,0.97181136,
2022,"SS",5341,4860,43075.1,5932,12721,526,242,284,2327,1376,973,170,,,,,,0.97257417,
2023,"SS",5442,4860,43087.1,6108,11913,494,266,226,2378,1293,1107,146,,,,,,0.97331893,
2024,"SS",5321,4858,43116.1,6374,11650,519,272,247,2282,1237,1044,160,,,,,,0.972011,
