Season,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+
2015,183627,0.076639056,0.203924259,0.375821182,0.254435366,0.316790482,0.404579183,0.721369665,0.150143817,4.330314934888739,0.299095404,-0.10000006854534149,-0.6000002026557922,,-0.000005593523383140564,20582.977046024123,-64.02322005845943,0.3132095818747073,96.54867745737494
2016,184577,0.081743662,0.211196411,0.387050433,0.255349991,0.321583094,0.417411105,0.738994199,0.162061114,4.391898570697569,0.300090847,0.29999978840351105,-0.39999890327453613,-5.247323252874139,0.000014359364286065102,21680.574135839877,-63.42522039266271,0.31812007590364283,96.66347970452794
2017,185295,0.085425942,0.216433255,0.394698783,0.254972307,0.324461419,0.425912168,0.750373587,0.170939861,4.444930015308914,0.299603405,0.5999990403652191,-0.9999987781047821,-6.43996764671067,-0.0000033657997846603394,22516.856026345155,-65.14431767798393,0.32088766520189926,96.45337014198496
2018,185139,0.08472553,0.222573309,0.380663479,0.247944774,0.318144078,0.409418975,0.727563053,0.161474201,4.397351667433503,0.295582898,1.0000007674098015,1.043081283569336e-7,-1.62999813881288,0.00001707836054265499,21576.989303442962,-53.010889899680755,0.3146891779805476,96.57431626877819
2019,186516,0.08522057,0.229594243,0.371179039,0.252257712,0.322694959,0.434848875,0.757543834,0.182591163,4.42574263751678,0.298328285,-0.49999773502349854,-1.4999993965029716,-5.274364236227484,0.000014887191355228424,23407.753957724726,-59.24650659549261,0.3199370537913245,96.71221926407894
2020,66506,0.091600757,0.234354795,0.390863595,0.244604438,0.321832843,0.417685922,0.739518765,0.173081484,4.5583672269070625,0.292114005,0.39999958127737045,-0.09999948740005493,-6.928009161019872,-4.386529326438904e-7,8344.475246054273,0.47598217163059875,0.31976172566033595,100.01273925183135
2021,181817,0.086867564,0.231799006,0.374753826,0.243817192,0.317089341,0.410773059,0.7278624,0.166955867,4.460570184130278,0.291664854,-0.0000016316771507263184,-0.5000002607703209,-2.7769737213375265,0.0000061390455812215805,21951.1075052204,-58.892936457446524,0.31442644240601775,96.72622676955723
2022,182052,0.081586579,0.224177707,0.363937077,0.242712507,0.311551424,0.394861285,0.706412709,0.152148778,4.2510758569173746,0.290404678,2.100000873208046,0.09999988228082657,-1.9663375491008992,-0.0000025494955480098724,20818.601583718217,1.601293771389166,0.30974585067181093,100.09922355932198
2023,184104,0.08592426,0.227279146,0.378056066,0.248385213,0.320134655,0.414157817,0.734292472,0.165772604,4.961134343065032,0.296522719,-0.19999947398900986,-1.3999993726611137,5.497313402780492,0.000008612871170043945,22432.95876700713,0.9578654869019023,0.31837469936833196,100.09393577082251
2024,182449,0.081825606,0.225800086,0.362380755,0.243287493,0.3121107,0.399219241,0.711329941,0.155931748,4.962087162176712,0.290537456,-0.30000039935112,-1.500000111758709,1.801885558066715,0.007903695106506348,21348.468516771234,5.936325949164566,0.310181047531053,100.09853811473911
