Season,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
2019,0.298328285,1.200641329,0.214345603,0.428642835,0.35701156,0.098435065,0.15301583,3454,0.064963888,386,0.227326266,0.40687631,0.34234428,0.25077941,0.1701422,0.44968028,0.38017751
2018,0.295582898,1.221678798,0.214545366,0.431913593,0.35354104,0.103343949,0.127047315,3642,0.067814914,441,0.228142783,0.40337998,0.34541034,0.25120968,0.18047911,0.46657692,0.35294397
2020,0.292114005,1.198673791,0.216157906,0.427335322,0.35650677,0.095216635,0.148329363,1299,0.069767441,132,0.33,0.40987037,0.34639527,0.24373436,0.16480568,0.50264935,0.33254497
2023,0.296522719,1.134658315,0.200086089,0.425187002,0.374726907,0.098441665,0.127180909,3460,0.066091075,345,0.312217194,0.41093277,0.34575633,0.2433109,0.15523945,0.51836646,0.32639409
2021,0.291664854,1.176134806,0.206563545,0.428828318,0.364608135,0.099620969,0.135720157,3535,0.06862745,313,0.197975964,0.39973541,0.34987428,0.25039031,0.16460418,0.51414156,0.32125425
2017,0.299603405,1.242598112,0.203182238,0.44150766,0.3553101,0.096129278,0.136831252,3667,0.066142385,508,0.257737189,0.39800695,0.34905875,0.2529343,0.18940279,0.4926809,0.31791631
2016,0.300090847,1.291645731,0.207302718,0.446789853,0.345907428,0.096697574,0.128123144,3546,0.062698917,567,0.25448833,0.39699238,0.34730525,0.25570237,0.18766207,0.49852491,0.31381302
2024,0.290537456,1.108267212,0.196422909,0.422421852,0.381155237,0.103233512,0.116308335,3504,0.067436489,371,0.311764705,0.40582954,0.35169693,0.24247353,0.16075943,0.52645775,0.31278281
2022,0.290404678,1.153070137,0.199288631,0.428818528,0.37189284,0.102061315,0.113874574,3569,0.067587016,382,0.340767172,0.40468526,0.34841705,0.24689768,0.16591557,0.53189229,0.30219214
2015,0.299095404,1.340332053,0.209024977,0.452999468,0.337975554,0.095153308,0.113513388,3833,0.066127251,623,0.247812251,0.39113973,0.35228788,0.25657239,0.18638768,0.52533916,0.28827317
