Season,PA,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA
2015,183627,130506,88.21518269219347,120.304,10.916271960816132,6266,0.04801312,43287,0.3316859,0.254435366,,0.404579183,,0.3132095818747073,
2016,184577,128856,88.52619140598182,120.14,11.596931066789026,7305,0.05669119,44239,0.34332123,0.255349991,,0.417411105,,0.31812007590364283,
2017,185295,127599,87.33405429746021,122.181,11.768963032827092,7212,0.05652082,42452,0.33269853,0.254972307,,0.425912168,,0.32088766520189926,
2018,185139,126324,88.41453509983135,121.703,12.345207617781075,7826,0.06195181,44597,0.35303664,0.247944774,,0.409418975,,0.3146891779805476,
2019,186516,125814,88.73167530016646,120.6,12.662338284086871,8546,0.06792567,45948,0.36520578,0.252257712,,0.434848875,,0.3199370537913245,
2020,66506,44007,88.44645248766285,121.3,12.732934816477975,3347,0.07605608,16474,0.37434954,0.244604438,,0.417685922,,0.31976172566033595,
2021,181817,121766,88.76291668581086,122.214,12.555145274394464,9634,0.07911897,46905,0.38520605,0.243817192,,0.410773059,,0.31442644240601775,
2022,182052,124341,88.57476170256407,122.377,12.67989386483127,9329,0.07502755,47460,0.38169228,0.242712507,,0.394861285,,0.30974585067181093,
2023,184104,124330,89.00106155112319,121.168,12.839462061242568,10021,0.08060002,48743,0.39204536,0.248385213,,0.414157817,,0.31837469936833196,
2024,182449,124303,88.83302249496766,121.526,13.34426366503099,9693,0.07797881,48045,0.38651521,0.243287493,,0.399219241,,0.310181047531053,
